"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Long-form data quality indicators for housing characteristics: Canada, provinces and territories, census metropolitan areas, census agglomerations and census subdivisions","98100559",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810055901",1,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","2","Private households in occupied private dwellings, 2021 Census — 25% Sample data","Long-form data quality indicators – Housing characteristics (20)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
"1","Geography",,,""
"2","Long-form data quality indicators – Housing characteristics (20)",,,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
"1","Canada","[11124]","1","","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Newfoundland and Labrador","[10]","2","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","St. John's (CMA), N.L.","[001]","3","2","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Holyrood (1001472) T","[1001472]","4","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Conception Bay South (1001485) T","[1001485]","5","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Portugal Cove-St. Philip's (1001504) T","[1001504]","6","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Pouch Cove (1001505) T","[1001505]","7","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Flatrock (1001507) T","[1001507]","8","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Torbay (1001509) T","[1001509]","9","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Logy Bay-Middle Cove-Outer Cove (1001511) T","[1001511]","10","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Bauline (1001512) T","[1001512]","11","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Paradise (1001517) T","[1001517]","12","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","St. John's (1001519) CY","[1001519]","13","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Mount Pearl (1001542) CY","[1001542]","14","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","Petty Harbour-Maddox Cove (1001551) T","[1001551]","15","3","",,,17;3;4;5;9;10;14;15;12;13;16;18,
